nom,rs_icon,url,Latitude,Longitude
87 - Haute-Vienne,telegram,https://t.me/+rFlmNBHXkDg5MjRk,45.835424,1.264482
33 - Gironde,telegram,https://t.me/+qk_X__IUUQphNzY8,44.841226,-0.580044
24 - Dordogne,telegram,https://t.me/+S5lNMsTJ43JhNWE0,45.13452,0.720807
23 - Creuse,telegram,https://t.me/+K8iTCXsU-cM0ZWZk,46.0589801,1.6616374
88 - Vosges,telegram,https://t.me/+KsMKfMWAJpxhZjFk,48.174765,6.450361
68 - Haut-Rhin,telegram,https://t.me/+dAf_whfVF2s1MGRk,47.8652875,6.9011712
67 - Bas-Rhin,telegram,https://link.infini.fr/10sept25basrhin,48.586,7.756
75 - Paris,telegram,https://t.me/+9gxXN61OSBw4YWRk,48.853486,2.348397
35 - Ille-et-Vilaine,signal,https://signal.group/#CjQKIKpBWHOnofOcG3QB75_976gNFq-67P6LN0S1V3a3GZ2jEhCR_y098O3L9qP2qYLO_4ED,48.172768,-1.649809
74 - Haute-Savoie,telegram,https://t.me/+g8gK3s_SLZ5mMTU0,46.069068,6.344535
73 - Savoie,telegram,https://t.me/+p5TyIw3AYqtmOGVk,45.499049,6.382976
69 - Rhône,telegram,https://t.me/+wMC00KhgGZI2ZmFk,46,4.5
63 - Puy-de-Dôme,telegram,https://t.me/bloquons63,45.6667,3
43 - Haute-Loire,telegram,https://t.me/+E27DUVUAQx41NGJk,45.0833,4
42 - Loire,telegram,https://t.me/+sU3LLbwW12IwMjBk,45.4717,4.433
38 - Isère,telegram,https://t.me/IndignonsnousIsere,45.1667,5.8333
26 - Drôme,telegram,https://t.me/+e6HcO3Fq_MViYzZk,44.5833,5.1667
15 - Cantal,telegram,https://t.me/+aSs9MVDIrDdhYTdk,45.0833,2.6667
90 - Territoire de Belfort,telegram,https://t.me/+VMgGJ5vZ9kFhMDRk,47.629231,6.8993012
89 - Yonne,telegram,https://t.me/+iD-DeyFq66FjMzlk,47.840515089836,3.56331862412441
71 - Saône-et-Loire,telegram,https://t.me/+FAOiwCmuv1dhMDA0,46.6447719537057,4.54277293221123
58 - Nièvre,telegram,https://t.me/+qgdxdUtp-xg3OTI0,47.1157327467376,3.50421129285905
45 - Loiret,telegram,https://t.me/+Utc-XCqfvSphZjhk,47.9118852287315,2.34397155601261
94 - Val-de-Marne,telegram,https://t.me/+MVVfx3Afj6AzNzFk,48.7774364130303,2.46928738518856
93 - Seine-Saint-Denis,telegram,https://t.me/+eo1IAGG_uV9lN2Zk,48.9176098962278,2.47854089128323
92 - Hauts-de-Seine,telegram,https://t.me/+iMFbUWAScFw5MzFk,48.8475388508384,2.24606874275799
91 - Essonne,telegram,https://t.me/+ZMP8cVktBdQ2YjM0,48.5226198884686,2.24338748665539
77 - Seine-et-Marne,telegram,https://t.me/+rkUgIevw6EM3ZDY0,48.6274987226065,2.9340854276159
LA RÉUNION,telegram,https://t.me/+l81KX9i3Z39hZWU8,-21.1309332,55.5265771
GUYANE,telegram,https://t.me/+BZyC3CpGCIZhY2Q0,4.0039882,-52.999998
MARTINIQUE,telegram,https://t.me/+-G6drNd53xQwYTI0,14.6113732,-60.9620777
25 - Doubs,telegram,https://t.me/doubs10Sep,47.066992,6.235623
07 - Ardèche,telegram,https://t.me/+e6HcO3Fq_MViYzZk,44.7527552575178,4.42560660942855
03 - Allier,telegram,https://t.me/+VFRy-ZfSY6QwY2Rk,46.3936406719208,3.18764486326068
01 - Ain,telegram,https://t.me/+ZGgNVBU6mSEwNGQ0,46.0997671581629,5.34873032104146
Dol-de-bretagne,telegram,https://t.me/+QQgeVyp5og44YzNk,48.5338366,-1.7856964
Lodévois,telegram,https://t.me/+OSEUzEqKXoI1MWE8,43.7855984,3.2809888
Voges nord,telegram,https://t.me/IndignonsNousVosgesNord,48.9703695,7.335646
Brocéliande,signal,https://signal.group/#CjQKINc9U6SkDW9_PxkpOKReLxBQicJNN-ol5FpMCoX2_MYrEhAcZvvllIVh1E_RFRi0G3P1,47.9196651,-2.0828663
Compiègne,telegram,https://t.me/+_ivqaVHN-ppkNTI0,49.400614,2.8340221
La-Chapelle-sur-Hedre,telegram,https://t.me/+lHvOnJj-N-UwNjM8,47.3040919,-1.6034172
Quimper,signal,https://signal.group/#CjQKII1qXyyZlShZHZE4jrNn5tlRNXWfhVszh5mZMUCa2rCJEhBSXPFKiphSp2gqamlDf7cn,47.998156,-4.1384814
Flers,signal,https://signal.group/#CjQKINW5TXV9KyfZ4MPRbN0xOj9ukVG2J3k5ErA4GlGM0FXSEhDJcm-FoItItcSQAXKMVK0U,48.7342352,-0.5861654
34 - Hérault,signal,https://signal.group/#CjQKIL4muJn1v17oQQClHjtK0vuwSERuMosyFySg9tUM4wFEEhAGNsJjKiu8a6KGpQ-JdfnX,43.5910017,3.0367482
Gatinais Montargis,telegram,https://t.me/+wQfOOcl0Tm0yNjBk,47.9997687,2.7285145
Calais,signal,https://signal.group/#CjQKIATMRrmeM14cCe_gbcoQ5q6PGBJl07g1OOugmvI0BnRmEhD-pQYXF9e2nueEkLxIopD-,50.9419345,1.6589371
Tarare,telegram,https://t.me/tarare_10_septembre,45.9070843,4.4096091
Brive-la-Gaillarde,telegram,https://t.me/+fFVATyvoOWowZjA0,45.1450475,1.4364366
Le Faouët,telegram,https://t.me/+ufl83HVgddRmN2Nk,47.9272935,-3.7615391
Saint-Herblain,telegram,https://t.me/+r21Ond7oYyhjNzhk,47.1881676,-1.6826821
Châteaubriant Nozay Blain Derval,telegram,https://t.me/+Sl1p_7WkTro0Yjlk,47.7199177,-1.4323661
Autun,telegram,https://t.me/+wx67YJuf3y83NjU8,46.955461,4.294883
Rouen,telegram,https://t.me/+cWtCwdI2cv1lYzVk,49.4412339,1.0705421
Le Havre,telegram,https://t.me/+nwEOj3XdQGk5MjQ0,49.4958071,0.0899093
Bayeux,telegram,https://t.me/+415hLgv5_vszMmM0,49.2771684,-0.7119534
Dublin,telegram,https://t.me/+7cSgq4Jxdd03MGRk,52.9161963,-5.7614271
Agen,site,https://linktr.ee/mouvement10septembre47lg,44.2010474,0.6095538
Bordeaux,telegram,https://t.me/+fFVATyvoOWowZjA0,44.8637104,-0.6272971
L&#8217;Arbresle,telegram,https://t.me/+9VRLOD6UK9djYjZk,45.8347066,4.5999113
Sud Lubéron,signal,https://signal.group/#CjQKIAF5TQRu2gQgFnuyUpdwzn3DnGiQyKv_6jRv8i9Yw_XhEhCk4nTxuqBaq1icMNQkUJIW,43.7486227,5.3944167
Marseille,signal,https://signal.group/#CjQKIIqrgIOtF2gVpLAsDwHfySQwrkOjwFSajJYRVnCBh0HQEhB_83NU9LCRfqoU9-Lmjf_M,43.2803093,5.2980667
Marseille centre,signal,https://signal.group/#CjQKICEugTnyEU830hvXPZ8ErNzy4jXHfE5IPlOnL5NHbC54EhBrodt5rX2RlVaWPzjU3RWP,43.2882836,5.3589323
Beauvais,telegram,https://t.me/+CtqldsAy7BswNzVk,49.4425347,2.0464129
Redon,signal,https://signal.group/#CjQKIBmy0-xFERka1kn94CL_PVnJl84K1oNa4pMsd1a9v7XIEhDGenUBQOUpemDkN02zKU8s,47.6556945,-2.0993097
Saint Malo,telegram,https://t.me/indignonsnouspaysdesaintmalo,48.6961681,-2.2161899
Reims,telegram,https://t.me/+5LH0u6BO-dU1ZTNk,49.254879,4.022026
Bénévent-Grand Bourg,signal,https://signal.group/#CjQKIHNfdBo8Wwbl4lonLAfekh1B3yzBiMIR--4ccbmaMzGOEhDxlIT4o_zJJK7i5gZERPz4,46.1209184,1.6144352
Cherbourg,signal,https://signal.group/#CjQKIAdZkl1GoTx545haTv_x-9D1IyO3VFOVLUPXANT9QfQXEhDF3WhXeMrSYhMMl2L4Ctb8,49.6276336,-1.6769271
Annonay,signal,https://signal.group/#CjQKIN7E-gSGlNaoJ25ZMI3Y9doezYeHYhvp1QCZ2nW0P2eXEhA0c5wG-b43MjqKLu_tFcgC,45.2405917,4.6721949
Metz,telegram,https://t.me/+KzGj90TwhckxZmM8,49.1048177,6.1549488
Tournus,telegram,https://t.me/+BeznZsPiKJ8wZTg0,46.567966,4.881846
Rennes,signal,https://signal.group/#CjQKIKpBWHOnofOcG3QB75_976gNFq-67P6LN0S1V3a3GZ2jEhCR_y098O3L9qP2qYLO_4ED,48.1159325,-1.70909
Sud Est,signal,https://signal.group/#CjQKIP6-L39DF7s_tNVTmbCQ7qI2M4H89OvlfCKoLvso133jEhCLA5-_nGXXq-73TbWETfuy,47.9092662,-1.3718087
Salon-de-Provence,telegram,https://t.me/indignonsnoussalon,43.642961,4.9710154
Marseille EST,telegram,https://t.me/+K0Nsa7fcLcdlNWRk,43.2943189,5.4738447
Bernay,facebookg,https://www.facebook.com/groups/3708800519421936/,49.0911669,0.5198957
Mâcon - Cluny - Charolles,telegram,https://t.me/+EuVCnflkkFxkODdk,46.417208,4.5746756
Poitiers,telegram,https://t.me/+fFVATyvoOWowZjA0,46.58025,0.340209
Châtellerault,telegram,https://t.me/+fFVATyvoOWowZjA0,46.818012,0.545811
Thouars,telegram,https://t.me/c/1698890845/12612,46.979023,-0.215363
Niort,telegram,https://t.me/c/1698890845/6057,46.323931,-0.464623
Bressuire,telegram,https://t.me/c/1698890845/6144,46.842605,-0.492883
Pau,telegram,https://t.me/+fFVATyvoOWowZjA0,43.295752,-0.368565
Bayonne,telegram,https://t.me/+fFVATyvoOWowZjA0,43.494509,-1.473662
Sainte Foy la Grande,telegram,https://t.me/+fFVATyvoOWowZjA0,44.841641,0.214974
Langon,telegram,https://t.me/+fFVATyvoOWowZjA0,44.553072,-0.244926
Libourne,telegram,https://t.me/+fFVATyvoOWowZjA0,44.913362,-0.242724
La Rochelle,telegram,https://t.me/c/1698890845/6059,46.159742,-1.151614
Saint-Quentin-en-Yvelines Rambouillet,telegram,https://t.me/+I5tJh1d7rbxhNmU8,48.7820032,1.9213943
Lyon,telegram,https://t.me/+SuOiGcRJZoliMDk0,45.7579433,4.7938389
Grenoble,telegram,https://t.me/+OKXn5kHL8-M4NTM0,45.1842316,5.6948976
Haut béarn,telegram,https://t.me/+3wswVam9MC0wMjNk,43.0281593,-0.955519
Saint-yrieix-la-perche,telegram,https://t.me/+5gHUQ7JNrwMyMjc8,45.5274015,1.1613278
Angoulème,telegram,https://t.me/+U8ruFJrFrhs1NWQ8,45.6458109,0.1243848
Saint Nazaire,telegram,https://t.me/+KtuU08JRaV4yOWI0,47.276816,-2.2804467
Reze,telegram,https://t.me/+7ifqGHbsJ6QwMDlk,47.173344,-1.5779205
Malakoff St donatien,telegram,https://t.me/+nKqjGihlVlM5ZDBk,47.223279,-1.536068
Nantes sud Loire,telegram,https://t.me/+M6jHtN4YMmQ2OGU8,47.1627401,-1.6051543
Nantes Nord,telegram,https://t.me/+pXKibPlTgwFkNzBk,47.2585943,-1.5857811
Nantes Agglomération,telegram,https://t.me/+FVgpAoiS7-IzMTA0,47.2277374,-1.7232077
L&#8217;Île de Nantes,telegram,https://t.me/+4Hml85LTV8c1ZjA0,47.2041664,-1.5523826
Carquefou,telegram,https://t.me/+b-M-uMmOhzNhOWY8,47.2968272,-1.4893288
Ancenis,telegram,https://t.me/+f5ay1J6hmUg5ZGY0,47.3818486,-1.1888699
Bocage virois,telegram,https://t.me/+ruRhzuXcrO9iNzI8,48.819842,-0.9480103
Dieppe,telegram,https://t.me/+wxsSWr1Oz05kMzNk,49.9199091,1.0631637
Caen,telegram,https://t.me/+Yz3dBigEr5NmMTg0,49.18134,-0.363561
Alençon,telegram,https://t.me/+rVnxGVSLZikxMDc8,48.4310214,0.0716318
Haute-corrèze,telegram,https://t.me/+D1C6bDew459hMmJk,45.5361096,1.8790475
Sud Manche,telegram,https://t.me/+Hgpjxnkf-V84MDE8,49.0910279,-2.005522
Saint-lô,telegram,https://t.me/+jGHHctdUMI01YzU0,49.1122743,-1.1018626
Bayeux,telegram,https://t.me/+W78yndkfVjdhNGM8,49.2771684,-0.7119534
Cholet,telegram,https://t.me/+W78yndkfVjdhNGM8,47.0358358,-0.9162437
Malakoff saint Donatien,telegram,https://t.me/+nKqjGihlVlM5ZDBk,47.228767,-1.542804
41 - Loir-et-Cher,telegram,https://t.me/+7moVpfgguQwyZjJk,47.587672,1.333761
Pays d’Avallon,telegram,https://t.me/+-jnceFS4skczOGJk,47.607386,3.758569
Louhans,telegram,https://t.me/+cx3AdCMJvBFiNmQ0,46.6279066,5.2212432
"Mâcon, Cluny, Charolles",telegram,https://t.me/+EuVCnflkkFxkODdk,46.3922617,4.6013122
Chalon/Creusot/Montceau,telegram,https://t.me/+a3tRDc53UHk0ZTFi,46.718655,4.5958855
GRÈVE ET BLOCAGE INFORMATIQUE,ag,https://10s25.ovh/cms/?page=action&id_article=75,48.8688501,2.3615691
